﻿operator_id;operator_name;szenario_id;verbrauch_mwh;leistung_kw;spannung;arbeitskosten_ht_2025;leistungskosten_2025;grundkosten_2025;messkosten_2025;umlage_17_2025;umlage_19_2025;kwkg_2025;konzessionsabgabe_2025;arbeitskosten_ht_2026;leistungskosten_2026;grundkosten_2026;messkosten_2026;umlage_17_2026;umlage_19_2026;kwkg_2026;konzessionsabgabe_2026
A05;Bayernwerk Netz GmbH;S4;50000;25000;NSP;3675000;0;98.55;10.45;408000;40080;138500;795000;2360000;0;98.55;10.45;470500;40090;223000;795000
A06;BIGGE ENERGIE GmbH & Co. KG;S1;1000;550;MSP;73800;10417;0;721.01;8160;15580;2770;1100;58200;7051;0;721.01;9410;15590;4460;1100
A06;BIGGE ENERGIE GmbH & Co. KG;S2;5000;1500;MSP;54000;264660;0;721.01;40800;17580;13850;5500;36000;210180;0;721.01;47050;17590;22300;5500
A06;BIGGE ENERGIE GmbH & Co. KG;S3;20000;7000;MSP;216000;1235080;0;721.01;163200;25080;55400;22000;144000;980840;0;721.01;188200;25090;89200;22000
A06;BIGGE ENERGIE GmbH & Co. KG;S4;50000;25000;MSP;3690000;473500;0;721.01;408000;40080;138500;55000;2910000;320500;0;721.01;470500;40090;223000;55000
A07;Bocholter Energie- und Wasserversorgung GmbH;S1;1000;550;MSP;98100;11407;0;438.17;8160;15580;2770;1100;81000;9416;0;438.17;9410;15590;4460;1100
A07;Bocholter Energie- und Wasserversorgung GmbH;S2;5000;1500;MSP;63500;351510;0;438.17;40800;17580;13850;5500;52500;290025;0;438.17;47050;17590;22300;5500
A07;Bocholter Energie- und Wasserversorgung GmbH;S3;20000;7000;MSP;254000;1640380;0;438.17;163200;25080;55400;22000;210000;1353450;0;438.17;188200;25090;89200;22000
A07;Bocholter Energie- und Wasserversorgung GmbH;S4;50000;25000;MSP;4905000;518500;0;438.17;408000;40080;138500;55000;4050000;428000;0;438.17;470500;40090;223000;55000
A08;Dortmunder Netz GmbH;S1;1000;550;MSP;76600;14613.5;0;734.37;8160;15580;2770;1100;52600;10147.5;0;784.37;9410;15590;4460;1100
A08;Dortmunder Netz GmbH;S2;5000;1500;MSP;108500;245595;0;734.37;40800;17580;13850;5500;77000;167190;0;784.37;47050;17590;22300;5500
A08;Dortmunder Netz GmbH;S3;20000;7000;MSP;434000;1146110;0;734.37;163200;25080;55400;22000;308000;780220;0;784.37;188200;25090;89200;22000
A08;Dortmunder Netz GmbH;S4;50000;25000;MSP;3830000;664250;0;734.37;408000;40080;138500;55000;2630000;461250;0;784.37;470500;40090;223000;55000
A09;E.DIS Netz GmbH;S1;1000;550;MSP;33100;21455.5;0;535.32;8160;15580;2770;1100;25100;12947;0;535.32;9410;15590;4460;1100
A09;E.DIS Netz GmbH;S2;5000;1500;MSP;110500;99975;0;535.32;40800;17580;13850;5500;56500;87165;0;535.32;47050;17590;22300;5500
A09;E.DIS Netz GmbH;S3;20000;7000;MSP;442000;466550;0;535.32;163200;25080;55400;22000;226000;406770;0;535.32;188200;25090;89200;22000
A09;E.DIS Netz GmbH;S4;50000;25000;MSP;1655000;975250;0;535.32;408000;40080;138500;55000;1255000;588500;0;535.32;470500;40090;223000;55000
A10;EAM Netz GmbH;S1;1000;550;MSP;64600;19536;0;435.6;8160;15580;2770;1100;40200;11484;0;435.6;9410;15590;4460;1100
A10;EAM Netz GmbH;S2;5000;1500;MSP;31500;271800;0;435.6;40800;17580;13850;5500;14500;171180;0;435.6;47050;17590;22300;5500
A10;EAM Netz GmbH;S3;20000;7000;MSP;126000;1268400;0;435.6;163200;25080;55400;22000;58000;798840;0;435.6;188200;25090;89200;22000
A10;EAM Netz GmbH;S4;50000;25000;MSP;3230000;888000;0;435.6;408000;40080;138500;55000;2010000;522000;0;435.6;470500;40090;223000;55000
A11;EGC Energie- und Gebäudetechnik Control GmbH & Co. KG;S1;1000;550;NSP;109900;0;95;13.78;8160;15580;2770;23900;97100;0;95;13.78;9410;15590;4460;23900
A11;EGC Energie- und Gebäudetechnik Control GmbH & Co. KG;S2;5000;1500;NSP;549500;0;95;13.78;40800;17580;13850;119500;485500;0;95;13.78;47050;17590;22300;119500
A11;EGC Energie- und Gebäudetechnik Control GmbH & Co. KG;S3;20000;7000;NSP;2198000;0;95;13.78;163200;25080;55400;478000;1942000;0;95;13.78;188200;25090;89200;478000
A11;EGC Energie- und Gebäudetechnik Control GmbH & Co. KG;S4;50000;25000;NSP;5495000;0;95;13.78;408000;40080;138500;1195000;4855000;0;95;13.78;470500;40090;223000;1195000
A12;ELE Verteilnetz GmbH;S1;1000;550;MSP;83200;6446;0;579.62;8160;15580;2770;1100;58900;2447.5;0;532.69;9410;15590;4460;1100
A12;ELE Verteilnetz GmbH;S2;5000;1500;MSP;58000;286080;0;579.62;40800;17580;13850;5500;39000;198300;0;532.69;47050;17590;22300;5500
A12;ELE Verteilnetz GmbH;S3;20000;7000;MSP;232000;1335040;0;579.62;163200;25080;55400;22000;156000;925400;0;532.69;188200;25090;89200;22000
A12;ELE Verteilnetz GmbH;S4;50000;25000;MSP;4160000;293000;0;579.62;408000;40080;138500;55000;2945000;111250;0;532.69;470500;40090;223000;55000
A13;Elektrizitätswerk Simbach GmbH;S1;1000;550;MSP;94300;13145;0;695;8160;15580;2770;1100;60900;8552.5;0;695;9410;15590;4460;1100
A13;Elektrizitätswerk Simbach GmbH;S2;5000;1500;MSP;65500;340200;0;695;40800;17580;13850;5500;43500;218955;0;695;47050;17590;22300;5500
A13;Elektrizitätswerk Simbach GmbH;S3;20000;7000;MSP;262000;1587600;0;695;163200;25080;55400;22000;174000;1021790;0;695;188200;25090;89200;22000
A13;Elektrizitätswerk Simbach GmbH;S4;50000;25000;MSP;4715000;597500;0;695;408000;40080;138500;55000;3045000;388750;0;695;470500;40090;223000;55000
A14;ENA Energienetze Apolda GmbH;S1;1000;550;MSP;63800;11693;0;653.83;8160;15580;2770;1100;54000;9146.5;0;653.83;9410;15590;4460;1100
A14;ENA Energienetze Apolda GmbH;S2;5000;1500;MSP;68000;220005;0;653.83;40800;17580;13850;5500;45000;193485;0;653.83;47050;17590;22300;5500
A14;ENA Energienetze Apolda GmbH;S3;20000;7000;MSP;272000;1026690;0;653.83;163200;25080;55400;22000;180000;902930;0;653.83;188200;25090;89200;22000
A14;ENA Energienetze Apolda GmbH;S4;50000;25000;MSP;3190000;531500;0;653.83;408000;40080;138500;55000;2700000;415750;0;653.83;470500;40090;223000;55000
A15;enercity GridPartner GmbH;S1;1000;550;MSP;82800;7265.5;0;1151.9;8160;15580;2770;1100;70000;6143.5;0;1131;9410;15590;4460;1100
A15;enercity GridPartner GmbH;S2;5000;1500;MSP;94500;259155;0;1151.9;40800;17580;13850;5500;80000;219150;0;1131;47050;17590;22300;5500
A15;enercity GridPartner GmbH;S3;20000;7000;MSP;378000;1209390;0;1151.9;163200;25080;55400;22000;320000;1022700;0;1131;188200;25090;89200;22000
A15;enercity GridPartner GmbH;S4;50000;25000;MSP;4140000;330250;0;1151.9;408000;40080;138500;55000;3500000;279250;0;1131;470500;40090;223000;55000
A16;enercity Netz GmbH;S1;1000;550;NSP;88700;0;53;12.68;8160;15580;2770;1100;85400;0;53;12.34;9410;15590;4460;1100
A16;enercity Netz GmbH;S2;5000;1500;NSP;443500;0;53;12.68;40800;17580;13850;5500;427000;0;53;12.34;47050;17590;22300;5500
A16;enercity Netz GmbH;S3;20000;7000;NSP;1774000;0;53;12.68;163200;25080;55400;22000;1708000;0;53;12.34;188200;25090;89200;22000
A16;enercity Netz GmbH;S4;50000;25000;NSP;4435000;0;53;12.68;408000;40080;138500;55000;4270000;0;53;12.34;470500;40090;223000;55000
A17;Energie- und Wasserversorgung Hamm GmbH;S1;1000;550;MSP;65400;12941.5;0;643.4;8160;15580;2770;1100;44800;8673.5;0;643.4;9410;15590;4460;1100
A17;Energie- und Wasserversorgung Hamm GmbH;S2;5000;1500;MSP;37500;252420;0;643.4;40800;17580;13850;5500;24000;173655;0;643.4;47050;17590;22300;5500
A17;Energie- und Wasserversorgung Hamm GmbH;S3;20000;7000;MSP;150000;1177960;0;643.4;163200;25080;55400;22000;96000;810390;0;643.4;188200;25090;89200;22000
A17;Energie- und Wasserversorgung Hamm GmbH;S4;50000;25000;MSP;3270000;588250;0;643.4;408000;40080;138500;55000;2240000;394250;0;643.4;470500;40090;223000;55000
A18;Energienetze Berlin GmbH;S1;1000;550;NSP;90700;0;31.95;10.22;8160;15580;2770;23900;75800;0;31.95;11.44;9410;15590;4460;23900
A18;Energienetze Berlin GmbH;S2;5000;1500;NSP;453500;0;31.95;10.22;40800;17580;13850;119500;379000;0;31.95;11.44;47050;17590;22300;119500
A18;Energienetze Berlin GmbH;S3;20000;7000;NSP;1814000;0;31.95;10.22;163200;25080;55400;478000;1516000;0;31.95;11.44;188200;25090;89200;478000
A18;Energienetze Berlin GmbH;S4;50000;25000;NSP;4535000;0;31.95;10.22;408000;40080;138500;1195000;3790000;0;31.95;11.44;470500;40090;223000;1195000
A19;Energienetze Mittelrhein GmbH & Co. KG;S1;1000;550;NSP;83500;0;80.3;10.47;8160;15580;2770;13200;63900;0;80.3;11.43;9410;15590;4460;13200
A19;Energienetze Mittelrhein GmbH & Co. KG;S1;1000;550;MSP;75700;11907.5;0;563.54;8160;15580;2770;1100;57300;7502;0;618.19;9410;15590;4460;1100
A19;Energienetze Mittelrhein GmbH & Co. KG;S2;5000;1500;NSP;417500.01;0;80.3;10.47;40800;17580;13850;66000;319500;0;80.3;11.43;47050;17590;22300;66000
A19;Energienetze Mittelrhein GmbH & Co. KG;S2;5000;1500;MSP;71500;262500;0;563.54;40800;17580;13850;5500;26000;215985;0;618.19;47050;17590;22300;5500
A19;Energienetze Mittelrhein GmbH & Co. KG;S3;20000;7000;NSP;1670000;0;80.3;10.47;163200;25080;55400;264000;1278000;0;80.3;11.43;188200;25090;89200;264000
A19;Energienetze Mittelrhein GmbH & Co. KG;S3;20000;7000;MSP;286000;1225000;0;563.54;163200;25080;55400;22000;104000;1007930;0;618.19;188200;25090;89200;22000
A19;Energienetze Mittelrhein GmbH & Co. KG;S4;50000;25000;NSP;4175000;0;80.3;10.47;408000;40080;138500;660000;3195000;0;80.3;11.43;470500;40090;223000;660000
A19;Energienetze Mittelrhein GmbH & Co. KG;S4;50000;25000;MSP;3785000;541250;0;563.54;408000;40080;138500;55000;2865000;341000;0;618.19;470500;40090;223000;55000
A20;Energieversorgung Selb-Marktredwitz GmbH;S1;1000;550;MSP;62700;20795.5;0;610;8160;15580;2770;1100;58100;10527;0;610;9410;15590;4460;1100
A20;Energieversorgung Selb-Marktredwitz GmbH;S2;5000;1500;MSP;46000;257310;0;610;40800;17580;13850;5500;21500;230595;0;610;47050;17590;22300;5500
A20;Energieversorgung Selb-Marktredwitz GmbH;S3;20000;7000;MSP;184000;1200780;0;610;163200;25080;55400;22000;86000;1076110;0;610;188200;25090;89200;22000
A20;Energieversorgung Selb-Marktredwitz GmbH;S4;50000;25000;MSP;3135000;945250;0;610;408000;40080;138500;55000;2905000;478500;0;610;470500;40090;223000;55000
A21;Enervie Vernetzt GmbH;S1;1000;550;MSP;66200;24821.5;0;399.4;8160;15580;2770;1100;55200;13651;0;420.83;9410;15590;4460;1100
A21;Enervie Vernetzt GmbH;S2;5000;1500;MSP;72000;261855;0;399.4;40800;17580;13850;5500;35000;217875;0;420.83;47050;17590;22300;5500
A21;Enervie Vernetzt GmbH;S3;20000;7000;MSP;288000;1221990;0;399.4;163200;25080;55400;22000;140000;1016750;0;420.83;188200;25090;89200;22000
A21;Enervie Vernetzt GmbH;S4;50000;25000;MSP;3310000;1128250;0;399.4;408000;40080;138500;55000;2760000;620500;0;420.83;470500;40090;223000;55000
A22;EWE NETZ GmbH;S1;1000;550;MSP;41000;9306;0;737.28;8160;15580;2770;1100;31000;6319.5;0;736.2;9410;15590;4460;1100
A22;EWE NETZ GmbH;S2;5000;1500;MSP;73500;124140;0;737.28;40800;17580;13850;5500;43500;100860;0;736.2;47050;17590;22300;5500
A22;EWE NETZ GmbH;S3;20000;7000;MSP;294000;579320;0;737.28;163200;25080;55400;22000;174000;470680;0;736.2;188200;25090;89200;22000
A22;EWE NETZ GmbH;S4;50000;25000;MSP;2050000;423000;0;737.28;408000;40080;138500;55000;1550000;287250;0;736.2;470500;40090;223000;55000
A23;Feuchter Gemeindewerke GmbH;S1;1000;550;NSP;81100;0;76;15.2;8160;15580;2770;13200;86600;0;76;15.2;9410;15590;4460;13200
A23;Feuchter Gemeindewerke GmbH;S2;5000;1500;NSP;405500;0;76;15.2;40800;17580;13850;66000;433000;0;76;15.2;47050;17590;22300;66000
A23;Feuchter Gemeindewerke GmbH;S3;20000;7000;NSP;1622000;0;76;15.2;163200;25080;55400;264000;1732000;0;76;15.2;188200;25090;89200;264000
A23;Feuchter Gemeindewerke GmbH;S4;50000;25000;NSP;4055000;0;76;15.2;408000;40080;138500;660000;4330000;0;76;15.2;470500;40090;223000;660000
A24;Hamburger Energienetze GmbH;S1;1000;550;NSP;121100;0;72;13.51;8160;15580;2770;23900;97000;0;72;13.58;9410;15590;4460;23900
A24;Hamburger Energienetze GmbH;S1;1000;550;MSP;45600;24667.5;0;436.16;8160;15580;2770;1100;31500;17215;0;438.44;9410;15590;4460;1100
A24;Hamburger Energienetze GmbH;S2;5000;1500;NSP;605500;0;72;13.51;40800;17580;13850;119500;485000;0;72;13.58;47050;17590;22300;119500
A24;Hamburger Energienetze GmbH;S2;5000;1500;MSP;184500;99855;0;436.16;40800;17580;13850;5500;129500;67695;0;438.44;47050;17590;22300;5500
A24;Hamburger Energienetze GmbH;S3;20000;7000;NSP;2422000;0;72;13.51;163200;25080;55400;478000;1940000;0;72;13.58;188200;25090;89200;478000
A24;Hamburger Energienetze GmbH;S3;20000;7000;MSP;738000;465990;0;436.16;163200;25080;55400;22000;518000;315910;0;438.44;188200;25090;89200;22000
A24;Hamburger Energienetze GmbH;S4;50000;25000;NSP;6055000;0;72;13.51;408000;40080;138500;1195000;4850000;0;72;13.58;470500;40090;223000;1195000
A24;Hamburger Energienetze GmbH;S4;50000;25000;MSP;2280000;1121250;0;436.16;408000;40080;138500;55000;1575000;782500;0;438.44;470500;40090;223000;55000
A25;Hanau Netz GmbH;S1;1000;550;MSP;62100;16417.5;0;761.9;8160;15580;2770;1100;38300;12259.5;0;776.94;9410;15590;4460;1100
A25;Hanau Netz GmbH;S2;5000;1500;MSP;90500;209670;0;761.9;40800;17580;13850;5500;84000;114165;0;776.94;47050;17590;22300;5500
A25;Hanau Netz GmbH;S3;20000;7000;MSP;362000;978460;0;761.9;163200;25080;55400;22000;336000;532770;0;776.94;188200;25090;89200;22000
A25;Hanau Netz GmbH;S4;50000;25000;MSP;3105000;746250;0;761.9;408000;40080;138500;55000;1915000;557250;0;776.94;470500;40090;223000;55000
A26;HEWA GmbH;S1;1000;550;MSP;96900;12512.5;0;1301.32;8160;15580;2770;1100;83900;12067;0;1301.32;9410;15590;4460;1100
A26;HEWA GmbH;S1;1000;550;NSP;110100;0;72;20;8160;15580;2770;13200;109300;0;72;20;9410;15590;4460;13200
A26;HEWA GmbH;S2;5000;1500;MSP;15500;385905;0;1301.32;40800;17580;13850;5500;34000;321795;0;1301.32;47050;17590;22300;5500
A26;HEWA GmbH;S2;5000;1500;NSP;550500;0;72;20;40800;17580;13850;66000;546500;0;72;20;47050;17590;22300;66000
A26;HEWA GmbH;S3;20000;7000;MSP;62000;1800890;0;1301.32;163200;25080;55400;22000;136000;1501710;0;1301.32;188200;25090;89200;22000
A26;HEWA GmbH;S3;20000;7000;NSP;2202000;0;72;20;163200;25080;55400;264000;2186000;0;72;20;188200;25090;89200;264000
A26;HEWA GmbH;S4;50000;25000;MSP;4845000;568750;0;1301.32;408000;40080;138500;55000;4195000;548500;0;1301.32;470500;40090;223000;55000
A26;HEWA GmbH;S4;50000;25000;NSP;5505000;0;72;20;408000;40080;138500;660000;5465000;0;72;20;470500;40090;223000;660000
A27;infra fürth GmbH;S1;1000;550;MSP;73000;12298;0;714;8160;15580;2770;1100;54000;9520.5;0;714;9410;15590;4460;1100
A27;infra fürth GmbH;S2;5000;1500;MSP;22500;290310;0;714;40800;17580;13850;5500;16500;216030;0;714;47050;17590;22300;5500
A27;infra fürth GmbH;S3;20000;7000;MSP;90000;1354780;0;714;163200;25080;55400;22000;66000;1008140;0;714;188200;25090;89200;22000
A27;infra fürth GmbH;S4;50000;25000;MSP;3650000;559000;0;714;408000;40080;138500;55000;2700000;432750;0;714;470500;40090;223000;55000
A28;LEW Verteilnetz GmbH;S1;1000;550;MSP;55700;4779.5;0;431.34;8160;15580;2770;1100;40000;3597;0;431.34;9410;15590;4460;1100
A28;LEW Verteilnetz GmbH;S2;5000;1500;MSP;40000;191940;0;431.34;40800;17580;13850;5500;33500;134745;0;431.34;47050;17590;22300;5500
A28;LEW Verteilnetz GmbH;S3;20000;7000;MSP;160000;895720;0;431.34;163200;25080;55400;22000;134000;628810;0;431.34;188200;25090;89200;22000
A28;LEW Verteilnetz GmbH;S4;50000;25000;MSP;2785000;217250;0;431.34;408000;40080;138500;55000;2000000;163500;0;431.34;470500;40090;223000;55000
A29;Mainzer Netze GmbH;S1;1000;550;MSP;76600;13348.5;0;1039;8160;15580;2770;1100;49100;8475.5;0;1039;9410;15590;4460;1100
A29;Mainzer Netze GmbH;S2;5000;1500;MSP;22000;307155;0;1039;40800;17580;13850;5500;13500;197115;0;1039;47050;17590;22300;5500
A29;Mainzer Netze GmbH;S3;20000;7000;MSP;88000;1433390;0;1039;163200;25080;55400;22000;54000;919870;0;1039;188200;25090;89200;22000
A29;Mainzer Netze GmbH;S4;50000;25000;MSP;3830000;606750;0;1039;408000;40080;138500;55000;2455000;385250;0;1039;470500;40090;223000;55000
A30;Mitteldeutsche Netzgesellschaft Strom mbH;S1;1000;550;NSP;75200;0;73;7.84;8160;15580;2770;13200;63100;0;73;7.84;9410;15590;4460;13200
A30;Mitteldeutsche Netzgesellschaft Strom mbH;S1;1000;550;MSP;45600;24387;0;465;8160;15580;2770;1100;39200;19178.5;0;465;9410;15590;4460;1100
A30;Mitteldeutsche Netzgesellschaft Strom mbH;S2;5000;1500;NSP;376000;0;73;7.84;40800;17580;13850;66000;315500;0;73;7.84;47050;17590;22300;66000
A30;Mitteldeutsche Netzgesellschaft Strom mbH;S2;5000;1500;MSP;51000;199260;0;465;40800;17580;13850;5500;33500;174180;0;465;47050;17590;22300;5500
A30;Mitteldeutsche Netzgesellschaft Strom mbH;S3;20000;7000;NSP;1504000;0;73;7.84;163200;25080;55400;264000;1262000;0;73;7.84;188200;25090;89200;264000
A30;Mitteldeutsche Netzgesellschaft Strom mbH;S3;20000;7000;MSP;204000;929880;0;465;163200;25080;55400;22000;134000;812840;0;465;188200;25090;89200;22000
A30;Mitteldeutsche Netzgesellschaft Strom mbH;S4;50000;25000;NSP;3760000;0;73;7.84;408000;40080;138500;660000;3155000;0;73;7.84;470500;40090;223000;660000
A30;Mitteldeutsche Netzgesellschaft Strom mbH;S4;50000;25000;MSP;2280000;1108500;0;465;408000;40080;138500;55000;1960000;871750;0;465;470500;40090;223000;55000
A31;Mittelhessen Netz GmbH;S1;1000;550;MSP;54000;14404.5;0;600;8160;15580;2770;1100;43100;9575.5;0;600;9410;15590;4460;1100
A31;Mittelhessen Netz GmbH;S2;5000;1500;MSP;80500;181650;0;600;40800;17580;13850;5500;39000;158670;0;600;47050;17590;22300;5500
A31;Mittelhessen Netz GmbH;S3;20000;7000;MSP;322000;847700;0;600;163200;25080;55400;22000;156000;740460;0;600;188200;25090;89200;22000
A31;Mittelhessen Netz GmbH;S4;50000;25000;MSP;2700000;654750;0;600;408000;40080;138500;55000;2155000;435250;0;600;470500;40090;223000;55000
A32;N-ERGIE NETZ GmbH;S1;1000;550;NSP;63800;0;75;17.32;8160;15580;2770;23900;59600;0;95;17.32;9410;15590;4460;23900
A32;N-ERGIE NETZ GmbH;S1;1000;550;MSP;70300;13821.5;0;682.13;8160;15580;2770;1100;66700;13112;0;682.13;9410;15590;4460;1100
A32;N-ERGIE NETZ GmbH;S2;5000;1500;NSP;319000;0;75;17.32;40800;17580;13850;119500;298000;0;95;17.32;47050;17590;22300;119500
A32;N-ERGIE NETZ GmbH;S2;5000;1500;MSP;40500;270915;0;682.13;40800;17580;13850;5500;38500;256995;0;682.13;47050;17590;22300;5500
A32;N-ERGIE NETZ GmbH;S3;20000;7000;NSP;1276000;0;75;17.32;163200;25080;55400;478000;1192000;0;95;17.32;188200;25090;89200;478000
A32;N-ERGIE NETZ GmbH;S3;20000;7000;MSP;162000;1264270;0;682.13;163200;25080;55400;22000;154000;1199310;0;682.13;188200;25090;89200;22000
A32;N-ERGIE NETZ GmbH;S4;50000;25000;NSP;3190000;0;75;17.32;408000;40080;138500;1195000;2980000;0;95;17.32;470500;40090;223000;1195000
A32;N-ERGIE NETZ GmbH;S4;50000;25000;MSP;3515000;628250;0;682.13;408000;40080;138500;55000;3335000;596000;0;682.13;470500;40090;223000;55000
A33;Netz Leipzig GmbH;S1;1000;550;NSP;56500.01;0;75;11.21;8160;15580;2770;23900;42900;0;75;11.21;9410;15590;4460;23900
A33;Netz Leipzig GmbH;S1;1000;550;MSP;64600;8277.5;0;484.83;8160;15580;2770;1100;51900;6688;0;484.83;9410;15590;4460;1100
A33;Netz Leipzig GmbH;S2;5000;1500;NSP;282500;0;75;11.21;40800;17580;13850;119500;214500;0;75;11.21;47050;17590;22300;119500
A33;Netz Leipzig GmbH;S2;5000;1500;MSP;99500;190530;0;484.83;40800;17580;13850;5500;81000;152430;0;484.83;47050;17590;22300;5500
A33;Netz Leipzig GmbH;S3;20000;7000;NSP;1130000;0;75;11.21;163200;25080;55400;478000;858000;0;75;11.21;188200;25090;89200;478000
A33;Netz Leipzig GmbH;S3;20000;7000;MSP;398000;889140;0;484.83;163200;25080;55400;22000;324000;711340;0;484.83;188200;25090;89200;22000
A33;Netz Leipzig GmbH;S4;50000;25000;NSP;2825000;0;75;11.21;408000;40080;138500;1195000;2145000;0;75;11.21;470500;40090;223000;1195000
A33;Netz Leipzig GmbH;S4;50000;25000;MSP;3230000;376250;0;484.83;408000;40080;138500;55000;2595000;304000;0;484.83;470500;40090;223000;55000
A34;Netze BW GmbH;S1;1000;550;NSP;97300;0;107.96;10.42;8160;15580;2770;13200;75700;0;84;10.67;9410;15590;4460;13200
A34;Netze BW GmbH;S1;1000;550;MSP;92600.01;12760;0;546.99;8160;15580;2770;1100;63200;9135.5;0;555.96;9410;15590;4460;1100
A34;Netze BW GmbH;S2;5000;1500;NSP;486500;0;107.96;10.42;40800;17580;13850;66000;378500;0;84;10.67;47050;17590;22300;66000
A34;Netze BW GmbH;S2;5000;1500;MSP;77000;324270;0;546.99;40800;17580;13850;5500;53000;222075;0;555.96;47050;17590;22300;5500
A34;Netze BW GmbH;S3;20000;7000;NSP;1946000;0;107.96;10.42;163200;25080;55400;264000;1514000;0;84;10.67;188200;25090;89200;264000
A34;Netze BW GmbH;S3;20000;7000;MSP;308000;1513260;0;546.99;163200;25080;55400;22000;212000;1036350;0;555.96;188200;25090;89200;22000
